X,Y,OBJECTID,PRIMARY_KEY,ID_NUM,STREET_LOCATION,BETWEEN_STREET1,BETWEEN_STREET2,DIRECTION_BOUND,START_DATE,END_DATE,COUNT_YEAR,AVE_WEEKDAY_TRAFFIC,AM_PEAK_8TO9,PM_PEAK_5TO6,OTHER_PEAK_TIMES,PERCENT_HEAVY_VEHICLES,SPEED_LIMIT,PERCENTILE_85TH,PERCENT_EXCEED_SPEED_LIMIT,DATA_COLLECTED_BY,LAST_EDITED_DATE
115.83810503721,-31.9474359754173,30025,572,239_309,Hay Street,Thomas St,Outram St,Westbound,2015/06/08 00:00:00+00,2015/06/22 00:00:00+00,2015,10101.0,770.0,882.0,,4.2,50.0,49.0,14.0,COP,2019/02/24 08:20:33+00
115.83810503721,-31.9474359754173,30026,969,239_309,Hay Street,Thomas St,Outram St,Westbound,2017/10/16 00:00:00+00,2017/10/23 00:00:00+00,2017,9708.0,750.0,938.0,,2.5,50.0,43.4,4.05,PENTAGON S,2019/02/24 08:20:33+00
115.83810503721,-31.9474359754173,30027,901,239_309,Hay Street,Thomas St,Outram St,Westbound,2017/05/01 00:00:00+00,2017/05/16 00:00:00+00,2017,9691.0,683.0,938.0,310 (1100-1200),2.13,50.0,45.0,0.35,COP,2019/02/24 08:20:33+00
115.83810503721,-31.9474359754173,30028,1153,239_309,Hay Street,Thomas St,Outram St,Westbound,2018/10/14 00:00:00+00,2018/10/22 00:00:00+00,2018,9028.0,685.0,1003.0,,2.7,40.0,46.89,45.82,Austraffic,2019/02/24 08:20:33+00
115.83810503721,-31.9474359754173,30029,1153,239_309,Hay Street,Thomas St,Outram St,Westbound,2018/10/14 00:00:00+00,2018/10/22 00:00:00+00,2018,9028.0,685.0,1003.0,,2.7,40.0,46.89,45.82,Austraffic,2019/02/24 08:20:33+00
115.83810503721,-31.9474359754173,30030,1153,239_309,Hay Street,Thomas St,Outram St,Westbound,2018/10/14 00:00:00+00,2018/10/22 00:00:00+00,2018,9028.0,685.0,1003.0,,2.7,40.0,46.89,45.82,Austraffic,2019/02/24 08:20:33+00
115.83810503721,-31.9474359754173,30031,497,239_309,Hay Street,Thomas St,Outram St,Westbound,2014/05/19 00:00:00+00,2014/06/02 00:00:00+00,2014,10054.0,763.0,825.0,,3.6,50.0,50.0,17.0,COP,2019/02/24 08:20:33+00
115.83810503721,-31.9474359754173,30032,1153,239_309,Hay Street,Thomas St,Outram St,Westbound,2018/10/14 00:00:00+00,2018/10/22 00:00:00+00,2018,9028.0,685.0,1003.0,,0.027,40.0,46.89,0.4582,Austraffic,2019/02/24 08:20:33+00
115.83810503721,-31.9474359754173,30033,701,239_309,Hay Street,Thomas St,Outram St,Westbound,2016/04/26 00:00:00+00,2016/05/06 00:00:00+00,2016,10217.0,888.0,955.0,,6.3,50.0,49.0,11.94,COP,2019/02/24 08:20:33+00
115.839578003883,-31.9463959992849,30034,702,241_242,Murray Street,Thomas St,Outram St,Eastbound,2016/04/26 00:00:00+00,2016/05/09 00:00:00+00,2016,7270.0,738.0,449.0,475 (16:00-17:00),4.5,50.0,52.0,22.34,COP,2019/02/24 08:20:33+00
